Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,30,0.2882,125.3,2.265e+04,0.005488,1.00000,"A1BG ACR ANHX C8orf33 CHAMP1 DIP2A FAM110C FRG2B MZF1 OR4F21 OR4F5 PARD6G PCMTD2 PGBD2 RABL2B S100B SLC27A5 TUBB8 ZBTB45 ZNF10 ZNF132 ZNF140 ZNF26 ZNF324 ZNF324B ZNF497 ZNF672 ZNF84 ZNF891 ZSCAN22"
2,113,0.2009,1271,9.064e+04,0.01380,1.00000,"A1CF ACTA2 ADIRF AFAP1L2 AGAP5 AGAP6 AGAP9 ANK3 ANKRD22 ANTXRL ANXA7 ANXA8L1 AP3M1 BLNK CALHM3 CEP57L1 CFAP58 CFAP70 COL13A1 COMTD1 CTNNA3 CXCL12 CYP17A1 CYP26A1 CYP26C1 CYP2C19 CYP2C8 CYP2C9 DDX50 DKK1 DNAJB12 DUPD1 DUSP13 DYDC1 DYDC2 FAM213A FFAR4 GOLGA7B GPRIN2 GSTO1 GSTO2 HABP2 HKDC1 HOGA1 IDE IFIT1 IFIT1B IFIT2 IFIT3 IFIT5 ITPRIP KCNIP2 LDB3 LIPA LIPF LIPJ LIPK LIPM LIPN LRIT1 LRRC18 LRRC20 LRRTM3 MAT1A MCU MINPP1 MORN4 MYOZ1 NODAL NUDT13 NUTM2A NUTM2B OPN4 OR13A1 PALD1 PAPSS2 PAX2 PLA2G12B PNLIP PNLIPRP1 PPP3CB PSD PTPN20 RASGEF1A RET SAMD8 SEMA4G SFTPA1 SFTPA2 SFXN2 SHLD2 SORCS1 SORCS3 SRGN SVIL SYNPO2L SYT15 TACR2 TLX1 TMEM72 UNC5B USP54 WASHC2C ZFYVE27 ZNF22 ZNF239 ZNF32 ZNF33B ZNF365 ZNF37A ZNF485 ZNF488 ZNF503"
3,75,0.2233,619.8,5.911e+04,0.01035,1.00000,"A2M ACRBP ANO2 APOLD1 B4GALNT3 BCL2L14 C12orf71 C1S C3AR1 CLEC12A CLEC12B CLEC1B CLEC2A CLEC2B CLEC4A CLEC4C CLEC4D CLEC4E CLEC6A CLEC7A CLEC9A CLSTN3 ERC1 FAM234B GALNT8 GNB3 GPR162 GPRC5A GPRC5D GYS2 IAPP KCNA1 KCNA5 KCNA6 KCNJ8 KLRB1 KLRC1 KLRC2 KLRC4 KLRF1 KLRG1 LTBR MANSC4 NRIP2 PIANP PKP2 PRB1 PRB4 PRH2 PZP RERG RERGL SLC2A3 SLC6A12 SLC6A13 SLCO1B1 SLCO1B3 SLCO1B7 SLCO1C1 STYK1 TAS2R10 TAS2R13 TAS2R14 TAS2R19 TAS2R20 TAS2R30 TAS2R31 TAS2R43 TAS2R50 TAS2R7 TAS2R8 TAS2R9 TMEM52B TSPAN11 WNT5B"
4,27,0.3365,118.1,1.771e+04,0.006605,1.00000,"ADAT2 ALKBH8 CTU1 CTU2 DPH3 DUS2 EIF1 EIF2A EIF2AK4 ELP5 ELP6 METTL1 MOCS3 NR2C2AP NSUN2 PDAP1 PPP1R15B PUS3 RNF25 SSB THUMPD1 TRMT1 TRMT61A URM1 WDR4 XPOT ZPR1"
5,7,0.8653,18.17,4680,0.003856,0.999299,"AVEN DIS3L FOCAD HBS1L PELO SKIV2L TTC37"
6,126,0.2386,1879,9.659e+04,0.01903,1.00000,"ADORA2A AIFM3 ANKRD54 APOBEC3A APOBEC3B APOBEC3C APOBEC3D APOBEC3F APOBEC3G APOL1 APOL2 APOL5 ARHGAP8 BCL2L13 C22orf15 C22orf23 C22orf31 C22orf46 CACNA1I CASTOR1 CBY1 CCDC116 CCDC157 CKLF CLDN5 COMT CRYBA4 CRYBB1 CRYBB2 CRYBB3 CYTH4 DESI1 DGCR6 DGCR6L DMC1 DRICH1 EMID1 FAM19A5 FOXRED2 GAL3ST1 GGT1 GGTLC2 GP1BB GRK3 GSTT2B GUCD1 HIC2 HMOX1 HORMAD2 HPS1 IGLL1 IGLL5 ISX KCTD17 KDELR3 KLHL22 KREMEN1 LMF2 LRRC75B LZTR1 MCHR1 MGAT3 MICALL1 MIF MMP11 MPPE1 MPST MTFP1 NCF4 NIPSNAP1 OSBP2 P2RX6 PARVB PLA2G3 PNPLA3 PNPLA5 PVALB RAC2 RASD2 RFPL2 RFPL3 RGL4 RIMBP3 RNF185 RNF215 RSPH14 SDF2L1 SEC14L2 SEC14L3 SEC14L4 SEC14L6 SELENOM SEPT3 SEPT5 SERHL2 SGSM1 SH3BP1 SIRPA SLC5A1 SLC5A4 SLC7A4 SPECC1L SULT4A1 SUSD2 SYNGR1 TANGO2 TBC1D10A TCN2 TEX33 THAP7 TNRC6B TOP3B TPST2 TRIOBP TSSK2 TST TTC28 TUBA8 TXNRD2 UPB1 USP18 VPREB1 WBP2NL YPEL1 ZDHHC8 ZNF74"
7,128,0.3734,3035,8.876e+04,0.03297,1.00000,"AARS2 AURKAIP1 DAP3 DARS2 DDX28 EARS2 ERAL1 FARS2 GADD45GIP1 GATB GATC GFM1 GFM2 GTPBP10 GTPBP8 HARS2 KIAA0391 LARS2 LRPPRC MALSU1 MARS2 METTL17 MIPEP MRM2 MRM3 MRPL10 MRPL11 MRPL12 MRPL13 MRPL14 MRPL15 MRPL16 MRPL17 MRPL18 MRPL19 MRPL2 MRPL20 MRPL21 MRPL22 MRPL23 MRPL27 MRPL28 MRPL3 MRPL30 MRPL32 MRPL33 MRPL34 MRPL35 MRPL36 MRPL37 MRPL38 MRPL39 MRPL4 MRPL40 MRPL41 MRPL42 MRPL43 MRPL44 MRPL45 MRPL46 MRPL47 MRPL48 MRPL49 MRPL50 MRPL51 MRPL53 MRPL54 MRPL55 MRPL57 MRPL58 MRPL9 MRPS10 MRPS11 MRPS12 MRPS14 MRPS16 MRPS17 MRPS18A MRPS18B MRPS18C MRPS2 MRPS21 MRPS22 MRPS23 MRPS24 MRPS25 MRPS26 MRPS27 MRPS28 MRPS30 MRPS31 MRPS33 MRPS34 MRPS35 MRPS5 MRPS6 MRPS7 MRPS9 MTERF3 MTERF4 MTG1 MTG2 MTPAP NARS2 NGRN NSUN4 PNPT1 POLG POLG2 POLRMT PTCD1 PTCD3 QRSL1 RARS2 RPUSD4 SARS2 SLC25A26 SSBP1 SUPV3L1 TARS2 TFAM TFB1M TFB2M TRMT10C TRUB2 TWNK VARS2 WARS2"
8,19,0.5355,91.57,1.256e+04,0.007215,1.00000,"AAAS AHCTF1 CDCA3 CLCC1 KPNA2 NDC1 NUP133 NUP153 NUP160 NUP188 NUP35 NUP37 NUP43 NUP50 NUP98 POM121 POM121C SENP2 TMEM201"
9,11,0.3110,17.11,8967,0.001899,0.999969,"AACS ABCB9 ADAMTS3 CDC42EP4 DISP1 DNASE2 FAM78B GNG4 PIK3C2B SRRM5 TRAFD1"
10,36,0.2632,165.8,2.896e+04,0.005679,1.00000,"AADAC AADACL2 ARHGEF26 CPA3 CPB1 ERICH6 GPR171 GPR87 HTR3D HTR3E IGSF10 KLHL24 METTL15 MFSD1 MLF1 NPHP3 P2RY12 P2RY13 P2RY14 PAQR9 PLD1 PLSCR1 PLSCR2 PLSCR4 PQLC2L SCHIP1 SELENOT SERP1 SERPINI1 SERPINI2 TFDP2 TM4SF1 TM4SF18 TM4SF4 TRIM59 VEPH1"
